CustomerTier,PercentProfit,Actual Status,Predicted Status,Confidence (%)
6655972.81857143,0.2997753440044929,Converted,Converted,99.0
6655972.81857143,0.2690235385815168,Not Converted,Not Converted,87.0
6655972.81857143,0.3333333333333335,Converted,Converted,99.91336521611349
6655972.81857143,0.2936155684533971,Converted,Not Converted,100.0
6655972.81857143,0.192598207156515,Not Converted,Converted,65.0
6655972.81857143,0.2699890470974808,Converted,Converted,100.0
6655972.81857143,0.3037049451057822,Not Converted,Not Converted,100.0
6655972.81857143,0.1797534027918389,Not Converted,Not Converted,100.0
6655972.81857143,0.2192898272552783,Converted,Converted,100.0
6655972.81857143,0.2300788807391417,Not Converted,Not Converted,89.0
197553.81662162163,0.2500207039337475,Converted,Converted,100.0
197553.81662162163,0.3292591948214373,Not Converted,Not Converted,93.0
6655972.81857143,0.3240007469087946,Not Converted,Not Converted,91.0
6655972.81857143,0.2475812614839266,Converted,Converted,86.0
6655972.81857143,0.3582293291731737,Converted,Converted,99.0
6655972.81857143,0.2964795985945405,Not Converted,Not Converted,93.0
6655972.81857143,0.3653681124470993,Not Converted,Not Converted,100.0
6655972.81857143,0.3126047291007261,Converted,Converted,100.0
197553.81662162163,0.3314917127071822,Converted,Converted,100.0
6655972.81857143,0.1968934771332338,Not Converted,Converted,100.0
6655972.81857143,0.3347031804789606,Not Converted,Not Converted,87.0
6655972.81857143,0.1785714285714285,Converted,Converted,69.0
6655972.81857143,0.1764382053399395,Converted,Converted,93.0
6655972.81857143,0.3259668508287365,Converted,Converted,100.0
6655972.81857143,0.3050847457627118,Converted,Converted,100.0
6655972.81857143,0.1729043746767671,Not Converted,Not Converted,85.0
6655972.81857143,0.3625730994152047,Converted,Converted,98.0
6655972.81857143,0.2713043379325413,Not Converted,Not Converted,100.0
6655972.81857143,0.2196796338672768,Converted,Converted,100.0
6655972.81857143,0.1915772089182504,Converted,Converted,100.0
6655972.81857143,0.2364959568733153,Not Converted,Not Converted,100.0
6655972.81857143,0.3247729956431448,Not Converted,Not Converted,98.71428571428572
6655972.81857143,0.3097251585623678,Converted,Converted,100.0
6655972.81857143,0.1900687333426847,Converted,Converted,100.0
6655972.81857143,0.2058823529411766,Converted,Converted,100.0
6655972.81857143,0.2989130434782608,Converted,Converted,98.38131153016175
6655972.81857143,0.3011777902411666,Converted,Converted,99.0
6655972.81857143,0.2057442695388013,Converted,Converted,100.0
6655972.81857143,0.288888888888889,Converted,Converted,100.0
6655972.81857143,0.2265397832408142,Converted,Converted,100.0
6655972.81857143,0.1897959183673468,Converted,Converted,100.0
6655972.81857143,0.334710743801653,Converted,Converted,100.0
6655972.81857143,0.3062730627306274,Converted,Converted,100.0
6655972.81857143,0.2901356649981769,Not Converted,Not Converted,97.0
6655972.81857143,0.1912073193237984,Not Converted,Not Converted,100.0
6655972.81857143,0.1900393184796854,Converted,Converted,100.0
6655972.81857143,0.2188264058679707,Converted,Converted,100.0
6655972.81857143,0.2950743494423792,Converted,Converted,99.0
6655972.81857143,0.2909948575416232,Not Converted,Not Converted,100.0
6655972.81857143,0.2369088621018781,Not Converted,Not Converted,100.0
6655972.81857143,0.2307692307692306,Converted,Converted,100.0
6655972.81857143,0.2804718217562252,Converted,Converted,100.0
6655972.81857143,0.3142857142857144,Not Converted,Not Converted,100.0
6655972.81857143,0.1782109293421511,Converted,Converted,100.0
6655972.81857143,0.2195652173913045,Converted,Converted,97.54183475450304
6655972.81857143,0.3065579450793005,Not Converted,Not Converted,100.0
6655972.81857143,0.1854082998661312,Converted,Converted,100.0
6655972.81857143,0.3584493445648223,Not Converted,Not Converted,100.0
6655972.81857143,0.365617572215542,Not Converted,Not Converted,100.0
6655972.81857143,0.2532187337180823,Not Converted,Not Converted,100.0
