CustomerTier,PercentProfit,Actual Status,Predicted Status,Confidence (%)
135861.51845794392,0.17982633393394923,Won,Won,97.0
4320717.807058823,0.3395739186571991,Won,Won,100.0
4320717.807058823,0.2378388240136146,Lost,Lost,70.0
4320717.807058823,0.1908162659991087,Lost,Lost,85.0
4320717.807058823,0.1958869410156491,Lost,Lost,100.0
14807.444069400628,0.2986906098017209,Won,Won,100.0
4320717.807058823,0.2836044664713515,Won,Won,71.0
4320717.807058823,0.1756584284457884,Lost,Lost,100.0
4320717.807058823,0.3077678242729167,Won,Won,100.0
4320717.807058823,0.2153761464551655,Lost,Won,93.0
4320717.807058823,0.3189607123724325,Lost,Lost,100.0
135861.51845794392,0.3283512377393756,Won,Lost,96.0
4320717.807058823,0.3055798181284323,Won,Lost,73.0
135861.51845794392,0.2168458781362008,Won,Won,100.0
135861.51845794392,0.224206952467822,Won,Won,100.0
4320717.807058823,0.3229989290241665,Lost,Lost,92.0
4320717.807058823,0.1791474154354607,Lost,Won,98.0
4320717.807058823,0.26593233674272226,Won,Won,100.0
4320717.807058823,0.367477513280955,Lost,Won,98.0
4320717.807058823,0.262539815308594,Lost,Lost,96.0
4320717.807058823,0.2534043413779156,Won,Won,100.0
4320717.807058823,0.3396295594125404,Lost,Lost,99.0
4320717.807058823,0.22439285721885,Lost,Lost,100.0
4320717.807058823,0.2480133600091294,Lost,Lost,100.0
135861.51845794392,0.3125598838415647,Lost,Won,76.0
4320717.807058823,0.18312555910909173,Won,Lost,99.0
4320717.807058823,0.2864579302466948,Lost,Won,91.0
4320717.807058823,0.3202052316094922,Lost,Lost,100.0
4320717.807058823,0.3037825790874747,Won,Won,100.0
4320717.807058823,0.2187499999999999,Won,Won,100.0
4320717.807058823,0.3285582652868732,Lost,Lost,78.0
4320717.807058823,0.1923963133640552,Won,Won,100.0
4320717.807058823,0.3142818811161496,Lost,Lost,82.0
4320717.807058823,0.2833872630164303,Lost,Lost,91.0
4320717.807058823,0.209503589705888,Lost,Won,96.0
